Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,765.000000,765.000000,765.000000,765.000000,749.183655,0
2019-01-02,770.000000,775.000000,735.000000,740.000000,724.700562,53128900
2019-01-03,750.000000,755.000000,740.000000,750.000000,734.493774,34641100
2019-01-04,750.000000,765.000000,745.000000,760.000000,744.286987,59878500
2019-01-07,775.000000,785.000000,765.000000,770.000000,754.080261,65853100
2019-01-08,775.000000,780.000000,755.000000,760.000000,744.286987,82485900
2019-01-09,770.000000,790.000000,765.000000,780.000000,763.873535,105654500
2019-01-10,780.000000,805.000000,775.000000,790.000000,773.666809,150289500
2019-01-11,795.000000,800.000000,780.000000,790.000000,773.666809,56407400
2019-01-14,795.000000,795.000000,775.000000,780.000000,763.873535,41648200
2019-01-15,780.000000,830.000000,780.000000,820.000000,803.046509,165281200
2019-01-16,830.000000,885.000000,825.000000,870.000000,852.012817,245187100
2019-01-17,870.000000,885.000000,840.000000,845.000000,827.529663,92137700
2019-01-18,850.000000,870.000000,840.000000,850.000000,832.426270,73986800
2019-01-21,855.000000,870.000000,850.000000,855.000000,837.322937,72190100
2019-01-22,855.000000,860.000000,820.000000,830.000000,812.839783,77107300
2019-01-23,830.000000,885.000000,825.000000,860.000000,842.219543,141396200
2019-01-24,865.000000,905.000000,855.000000,895.000000,876.495911,196537400
2019-01-25,895.000000,945.000000,895.000000,930.000000,910.772278,261090200
2019-01-28,945.000000,950.000000,910.000000,910.000000,891.185791,132450700
2019-01-29,910.000000,930.000000,900.000000,920.000000,900.979065,96595800
2019-01-30,935.000000,960.000000,935.000000,950.000000,930.358765,180203800
2019-01-31,965.000000,980.000000,955.000000,965.000000,945.048645,133938100
2019-02-01,975.000000,975.000000,955.000000,960.000000,940.152039,59971800
2019-02-04,970.000000,1040.000000,970.000000,1010.000000,989.118286,303518900
2019-02-05,1010.000000,1010.000000,1010.000000,1010.000000,989.118286,0
2019-02-06,1025.000000,1100.000000,1005.000000,1095.000000,1072.360962,285524200
2019-02-07,1080.000000,1150.000000,1050.000000,1060.000000,1038.084595,369835900
2019-02-08,1050.000000,1080.000000,1025.000000,1025.000000,1003.808167,179593300
2019-02-11,1025.000000,1025.000000,975.000000,980.000000,959.738586,222915600
2019-02-12,980.000000,995.000000,935.000000,960.000000,940.152039,182840300
2019-02-13,975.000000,1040.000000,950.000000,1010.000000,989.118286,277124100
2019-02-14,1020.000000,1030.000000,985.000000,1000.000000,979.325012,139034400
2019-02-15,990.000000,995.000000,950.000000,950.000000,930.358765,142476600
2019-02-18,975.000000,1020.000000,970.000000,995.000000,974.428406,173591600
2019-02-19,1000.000000,1055.000000,995.000000,1025.000000,1003.808167,255674400
2019-02-20,1040.000000,1090.000000,1040.000000,1060.000000,1038.084595,261788400
2019-02-21,1080.000000,1085.000000,1030.000000,1035.000000,1013.601440,158909700
2019-02-22,1035.000000,1060.000000,1010.000000,1055.000000,1033.187866,129281800
2019-02-25,1065.000000,1090.000000,1060.000000,1085.000000,1062.567749,177237000
2019-02-26,1075.000000,1075.000000,1035.000000,1045.000000,1023.394653,148389300
2019-02-27,1055.000000,1060.000000,1030.000000,1030.000000,1008.704834,61838900
2019-02-28,1040.000000,1045.000000,980.000000,1015.000000,994.014893,192898000
2019-03-01,1000.000000,1055.000000,1000.000000,1055.000000,1033.187866,117661600
2019-03-04,1060.000000,1075.000000,1045.000000,1050.000000,1028.291382,100864600
2019-03-05,1040.000000,1065.000000,1015.000000,1035.000000,1013.601440,126418900
2019-03-06,1050.000000,1065.000000,1040.000000,1045.000000,1023.394653,87855200
2019-03-07,1045.000000,1045.000000,1045.000000,1045.000000,1023.394653,0
2019-03-08,1010.000000,1015.000000,990.000000,990.000000,969.531738,137044900
2019-03-11,1010.000000,1025.000000,990.000000,1000.000000,979.325012,113206700
2019-03-12,1010.000000,1015.000000,955.000000,970.000000,949.945313,112741300
2019-03-13,975.000000,990.000000,960.000000,975.000000,954.841919,70906700
2019-03-14,975.000000,975.000000,960.000000,970.000000,949.945313,52086700
2019-03-15,965.000000,990.000000,950.000000,980.000000,959.738586,52543600
2019-03-18,980.000000,985.000000,950.000000,955.000000,935.255432,66583200
2019-03-19,960.000000,975.000000,955.000000,960.000000,940.152039,54664800
2019-03-20,960.000000,980.000000,960.000000,960.000000,940.152039,46591800
2019-03-21,970.000000,980.000000,960.000000,960.000000,940.152039,36264300
2019-03-22,960.000000,965.000000,950.000000,960.000000,940.152039,30085500
2019-03-25,940.000000,945.000000,910.000000,920.000000,900.979065,91297400
2019-03-26,925.000000,940.000000,910.000000,920.000000,900.979065,46660500
2019-03-27,925.000000,925.000000,895.000000,900.000000,881.392517,43588200
2019-03-28,895.000000,915.000000,880.000000,885.000000,866.702637,67961100
2019-03-29,880.000000,895.000000,870.000000,890.000000,871.599304,57042100
2019-04-01,900.000000,945.000000,900.000000,940.000000,920.565552,116863400
2019-04-02,940.000000,950.000000,920.000000,925.000000,905.875671,92989900
2019-04-03,925.000000,925.000000,925.000000,925.000000,905.875671,0
2019-04-04,935.000000,945.000000,910.000000,915.000000,896.082458,43020200
2019-04-05,910.000000,925.000000,900.000000,900.000000,881.392517,27980200
2019-04-08,905.000000,910.000000,880.000000,885.000000,866.702637,58264600
2019-04-09,885.000000,915.000000,885.000000,905.000000,886.289185,41284200
2019-04-10,900.000000,910.000000,890.000000,895.000000,876.495911,36921100
2019-04-11,900.000000,905.000000,890.000000,900.000000,881.392517,30009000
2019-04-12,885.000000,890.000000,875.000000,880.000000,861.806030,33221800
2019-04-15,880.000000,890.000000,880.000000,885.000000,866.702637,30757400
2019-04-16,880.000000,900.000000,880.000000,895.000000,876.495911,27035500
2019-04-17,895.000000,895.000000,895.000000,895.000000,876.495911,0
2019-04-18,905.000000,910.000000,885.000000,885.000000,866.702637,41688500
2019-04-19,885.000000,885.000000,885.000000,885.000000,866.702637,0
2019-04-22,880.000000,890.000000,850.000000,855.000000,837.322937,75543000
2019-04-23,860.000000,890.000000,855.000000,890.000000,871.599304,54820700
2019-04-24,890.000000,890.000000,875.000000,880.000000,861.806030,28625000
2019-04-25,880.000000,885.000000,865.000000,870.000000,852.012817,28515800
2019-04-26,865.000000,880.000000,865.000000,875.000000,856.909363,33910900
2019-04-29,875.000000,885.000000,870.000000,875.000000,856.909363,26437700
2019-04-30,875.000000,880.000000,855.000000,865.000000,847.116211,47939900
2019-05-01,865.000000,865.000000,865.000000,865.000000,847.116211,0
2019-05-02,865.000000,870.000000,815.000000,820.000000,803.046509,105857000
2019-05-03,820.000000,825.000000,785.000000,790.000000,773.666809,95259500
2019-05-06,780.000000,780.000000,745.000000,760.000000,756.486572,83337600
2019-05-07,765.000000,780.000000,765.000000,765.000000,761.463440,37394800
2019-05-08,755.000000,770.000000,750.000000,765.000000,761.463440,38541800
2019-05-09,765.000000,770.000000,730.000000,730.000000,726.625244,55956100
2019-05-10,740.000000,750.000000,720.000000,745.000000,741.555908,57424000
2019-05-13,745.000000,750.000000,725.000000,730.000000,726.625244,45550200
2019-05-14,720.000000,720.000000,700.000000,710.000000,706.717712,66670300
2019-05-15,720.000000,735.000000,695.000000,700.000000,696.763916,100102600
2019-05-16,700.000000,715.000000,680.000000,685.000000,681.833313,52975400
2019-05-17,690.000000,695.000000,670.000000,670.000000,666.902649,36307200
2019-05-20,675.000000,690.000000,660.000000,685.000000,681.833313,49978300
2019-05-21,690.000000,725.000000,690.000000,710.000000,706.717712,65902900
2019-05-22,700.000000,725.000000,700.000000,710.000000,706.717712,49193900
2019-05-23,710.000000,740.000000,710.000000,740.000000,736.579041,62518900
2019-05-24,740.000000,755.000000,720.000000,730.000000,726.625244,84783700
2019-05-27,740.000000,760.000000,735.000000,740.000000,736.579041,75187700
2019-05-28,750.000000,750.000000,720.000000,720.000000,716.671509,56803700
2019-05-29,710.000000,725.000000,705.000000,715.000000,711.694580,38469900
2019-05-30,715.000000,715.000000,715.000000,715.000000,711.694580,0
2019-05-31,715.000000,730.000000,715.000000,725.000000,721.648376,33515000
2019-06-03,725.000000,725.000000,725.000000,725.000000,721.648376,0
2019-06-04,725.000000,725.000000,725.000000,725.000000,721.648376,0
2019-06-05,725.000000,725.000000,725.000000,725.000000,721.648376,0
2019-06-06,725.000000,725.000000,725.000000,725.000000,721.648376,0
2019-06-07,725.000000,725.000000,725.000000,725.000000,721.648376,0
2019-06-10,730.000000,800.000000,730.000000,780.000000,776.394104,172262900
2019-06-11,785.000000,815.000000,770.000000,795.000000,791.324768,116959700
2019-06-12,795.000000,810.000000,780.000000,785.000000,781.370972,54716300
2019-06-13,785.000000,790.000000,765.000000,780.000000,776.394104,41048700
2019-06-14,785.000000,795.000000,775.000000,790.000000,786.347900,51605300
2019-06-17,800.000000,805.000000,760.000000,765.000000,761.463440,46657900
2019-06-18,765.000000,780.000000,765.000000,775.000000,771.417236,24803000
2019-06-19,null,null,null,null,null,null
2019-06-20,810.000000,825.000000,800.000000,805.000000,801.278564,91642200
2019-06-21,815.000000,820.000000,785.000000,800.000000,796.301636,82014000
2019-06-24,805.000000,815.000000,795.000000,795.000000,791.324768,37223500
2019-06-25,805.000000,850.000000,795.000000,845.000000,841.093628,242773400
2019-06-26,845.000000,850.000000,820.000000,825.000000,821.186096,105044300
2019-06-27,830.000000,845.000000,820.000000,830.000000,826.162964,64619500
2019-06-28,840.000000,860.000000,830.000000,845.000000,841.093628,131205700
2019-07-01,850.000000,865.000000,840.000000,850.000000,846.070496,112441000
2019-07-02,845.000000,850.000000,835.000000,840.000000,836.116760,34077600
2019-07-03,845.000000,850.000000,810.000000,815.000000,811.232300,82796400
2019-07-04,825.000000,830.000000,815.000000,820.000000,816.209167,42211300
2019-07-05,820.000000,825.000000,810.000000,810.000000,806.255432,27266000
2019-07-08,810.000000,835.000000,800.000000,825.000000,821.186096,47875600
2019-07-09,825.000000,840.000000,825.000000,825.000000,821.186096,49279300
2019-07-10,830.000000,840.000000,815.000000,820.000000,816.209167,33570400
2019-07-11,835.000000,855.000000,825.000000,850.000000,846.070496,114504000
2019-07-12,850.000000,855.000000,835.000000,845.000000,841.093628,54953400
2019-07-15,855.000000,885.000000,855.000000,880.000000,875.931824,192125200
2019-07-16,885.000000,905.000000,875.000000,895.000000,890.862488,141194200
2019-07-17,900.000000,930.000000,885.000000,900.000000,895.839355,238303800
2019-07-18,920.000000,985.000000,920.000000,950.000000,945.608215,335413700
2019-07-19,970.000000,985.000000,935.000000,940.000000,935.654419,137797900
2019-07-22,940.000000,960.000000,915.000000,960.000000,955.562012,119839200
2019-07-23,950.000000,970.000000,940.000000,940.000000,935.654419,82880700
2019-07-24,940.000000,960.000000,935.000000,945.000000,940.631348,48601800
2019-07-25,955.000000,965.000000,925.000000,930.000000,925.700684,78453700
2019-07-26,930.000000,930.000000,885.000000,890.000000,885.885559,87812600
2019-07-29,895.000000,915.000000,880.000000,895.000000,890.862488,63726900
2019-07-30,905.000000,940.000000,905.000000,935.000000,930.677551,84114000
2019-07-31,940.000000,945.000000,925.000000,935.000000,930.677551,48705800
2019-08-01,935.000000,940.000000,920.000000,925.000000,920.723755,46309500
2019-08-02,905.000000,920.000000,890.000000,900.000000,895.839355,100773500
2019-08-05,900.000000,900.000000,855.000000,860.000000,856.024292,83532300
